tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
6610,4.8,23847.tif,0,40,28052,1753.2,0.1016
6610,4.8,23847.tif,0,50,31219,1951.2,0.1131
6610,4.8,23847.tif,0,60,39554,2472.1,0.1432
6610,4.8,23847.tif,0,70,115972,7248.2,0.42
6610,4.8,23847.tif,0,80,256721,16045.1,0.9297
6610,4.8,23847.tif,0,90,268602,16787.6,0.9728
6610,4.8,23847.tif,0,100,274663,17166.4,0.9947
6610,5.8,23849.tif,0,10,608,38.0,0.0024
6610,5.8,23849.tif,0,20,8282,517.6,0.0333
6610,5.8,23849.tif,0,30,11119,694.9,0.0447
6610,5.8,23849.tif,0,40,15242,952.6,0.0612
6610,5.8,23849.tif,0,50,23410,1463.1,0.094
6610,5.8,23849.tif,0,60,34314,2144.6,0.1378
6610,5.8,23849.tif,0,70,159254,9953.4,0.6396
6610,5.8,23849.tif,0,80,210309,13144.3,0.8447
6610,5.8,23849.tif,0,90,241483,15092.7,0.9699
6610,5.8,23849.tif,0,100,246825,15426.6,0.9913
7308,3.4,23713.tif,0,10,1819,113.7,0.0037
7308,3.4,23713.tif,0,20,8229,514.3,0.0165
7308,3.4,23713.tif,0,30,11042,690.1,0.0222
7308,3.4,23713.tif,0,40,17575,1098.4,0.0353
7308,3.4,23713.tif,0,50,36011,2250.7,0.0724
7308,3.4,23713.tif,0,60,133195,8324.7,0.2678
7308,3.4,23713.tif,0,70,383981,23998.8,0.7719
7308,3.4,23713.tif,0,80,484998,30312.4,0.975
7308,3.4,23713.tif,0,90,492746,30796.6,0.9906
7308,3.4,23713.tif,0,100,496998,31062.4,0.9991
7308,4.4,23715.tif,0,10,933,58.3,0.0023
7308,4.4,23715.tif,0,20,4582,286.4,0.0111
7308,4.4,23715.tif,0,30,17000,1062.5,0.0412
7308,4.4,23715.tif,0,40,34068,2129.2,0.0826
7308,4.4,23715.tif,0,50,48623,3038.9,0.1178
7308,4.4,23715.tif,0,60,80972,5060.8,0.1962
7308,4.4,23715.tif,0,70,317473,19842.1,0.7693
7308,4.4,23715.tif,0,80,401812,25113.2,0.9737
7308,4.4,23715.tif,0,90,412582,25786.4,0.9998
7308,4.4,23715.tif,0,100,412648,25790.5,1.0
7308,5.4,23717.tif,0,10,4578,286.1,0.0125
7308,5.4,23717.tif,0,20,9360,585.0,0.0255
7308,5.4,23717.tif,0,30,13821,863.8,0.0377
7308,5.4,23717.tif,0,40,27839,1739.9,0.0759
7308,5.4,23717.tif,0,50,45756,2859.8,0.1248
7308,5.4,23717.tif,0,60,107343,6708.9,0.2927
7308,5.4,23717.tif,0,70,305271,19079.4,0.8325
7308,5.4,23717.tif,0,80,362955,22684.7,0.9898
7308,5.4,23717.tif,0,90,366543,22908.9,0.9996
7308,5.4,23717.tif,0,100,366677,22917.3,1.0
7308,6.4,23719.tif,0,10,908,56.8,0.0029
7308,6.4,23719.tif,0,20,4276,267.2,0.0134
7308,6.4,23719.tif,0,30,8426,526.6,0.0265
7308,6.4,23719.tif,0,40,12216,763.5,0.0384
7308,6.4,23719.tif,0,50,19946,1246.6,0.0626
7308,6.4,23719.tif,0,60,69580,4348.8,0.2185
7308,6.4,23719.tif,0,70,219765,13735.3,0.6901
7308,6.4,23719.tif,0,80,308152,19259.5,0.9677
7308,6.4,23719.tif,0,90,317658,19853.6,0.9976
7308,6.4,23719.tif,0,100,318431,19901.9,1.0
7308,7.4,23721.tif,0,10,1064,66.5,0.0036
7308,7.4,23721.tif,0,20,1835,114.7,0.0062
7308,7.4,23721.tif,0,30,4170,260.6,0.0142
7308,7.4,23721.tif,0,40,5249,328.1,0.0179
7308,7.4,23721.tif,0,50,8472,529.5,0.0288
7308,7.4,23721.tif,0,60,80584,5036.5,0.274
7308,7.4,23721.tif,0,70,237568,14848.0,0.8079
7308,7.4,23721.tif,0,80,287494,17968.4,0.9777
7308,7.4,23721.tif,0,90,293627,18351.7,0.9985
7308,7.4,23721.tif,0,100,294052,18378.2,1.0
7308,8.4,23735.tif,0,10,186,11.6,0.0008
7308,8.4,23735.tif,0,20,1472,92.0,0.0067
7308,8.4,23735.tif,0,30,2412,150.8,0.011
7308,8.4,23735.tif,0,40,4537,283.6,0.0207
7308,8.4,23735.tif,0,50,20698,1293.6,0.0943
7308,8.4,23735.tif,0,60,53721,3357.6,0.2448
7308,8.4,23735.tif,0,70,154054,9628.4,0.702
7308,8.4,23735.tif,0,80,214340,13396.2,0.9768
7308,8.4,23735.tif,0,90,219080,13692.5,0.9984
7308,8.4,23735.tif,0,100,219398,13712.4,0.9998
7308,9.4,23732.tif,1,10,0,0.0,0.0
7308,9.4,23732.tif,1,20,490,30.6,0.0029
7308,9.4,23732.tif,1,30,1436,89.8,0.0084
7308,9.4,23732.tif,1,40,3255,203.4,0.0191
7308,9.4,23732.tif,1,50,15204,950.2,0.0891
7308,9.4,23732.tif,1,60,34163,2135.2,0.2003
7308,9.4,23732.tif,1,70,105107,6569.2,0.6162
7308,9.4,23732.tif,1,80,152651,9540.7,0.8949
7308,9.4,23732.tif,1,90,169155,10572.2,0.9917
7308,9.4,23732.tif,1,100,170568,10660.5,1.0
8249,0.12,23896.tif,0,10,199,12.4,0.0024
8249,0.12,23896.tif,0,20,1155,72.2,0.0142
8249,0.12,23896.tif,0,30,3137,196.1,0.0386
8249,0.12,23896.tif,0,40,3948,246.8,0.0486
8249,0.12,23896.tif,0,50,5215,325.9,0.0642
8249,0.12,23896.tif,0,60,10597,662.3,0.1304
8249,0.12,23896.tif,0,70,28038,1752.4,0.345
8249,0.12,23896.tif,0,80,77357,4834.8,0.9517
8249,0.12,23896.tif,0,90,80761,5047.6,0.9936
8249,0.12,23896.tif,0,100,81181,5073.8,0.9988
8249,1.12,23898.tif,0,10,0,0.0,0.0
8249,1.12,23898.tif,0,20,393,24.6,0.0174
8249,1.12,23898.tif,0,30,3176,198.5,0.1403
8249,1.12,23898.tif,0,40,3967,247.9,0.1753
8249,1.12,23898.tif,0,50,4799,299.9,0.212
8249,1.12,23898.tif,0,60,5575,348.4,0.2463
8249,1.12,23898.tif,0,70,14463,903.9,0.639
8249,1.12,23898.tif,0,80,20431,1276.9,0.9027
8249,1.12,23898.tif,0,90,22303,1393.9,0.9854
8249,1.12,23898.tif,0,100,22476,1404.8,0.9931
8249,1.4,23900.tif,0,10,0,0.0,0.0
8249,1.4,23900.tif,0,20,283,17.7,0.0156
8249,1.4,23900.tif,0,30,3021,188.8,0.1664
8249,1.4,23900.tif,0,40,3641,227.6,0.2005
8249,1.4,23900.tif,0,50,4229,264.3,0.2329
8249,1.4,23900.tif,0,60,4965,310.3,0.2734
8249,1.4,23900.tif,0,70,11827,739.2,0.6514
8249,1.4,23900.tif,0,80,17225,1076.6,0.9487
8249,1.4,23900.tif,0,90,18032,1127.0,0.9931
8249,1.4,23900.tif,0,100,18141,1133.8,0.9991
